グループ名,名前,よみ,生年月日,出身地,血液型,身長,加入期,卒業・辞退・契約終了日,現在の所属事務所ほか
乃木坂46,岩瀬佑美子,いわせ ゆみこ,1990/6/12,埼玉県,A型,153,1期生,2012/11/18,-
乃木坂46,安藤美雲,あんどう みくも,1993/5/21,神奈川県,O型,156,1期生,2013/6/16,-
乃木坂46,柏幸奈,かしわ ゆきな,1994/8/12,神奈川県,B型,160,1期生,2013/11/17,-
乃木坂46,宮澤成良,みやざわ せいら,1993/10/29,千葉県,O型,168,1期生,2013/11/17,イデア
乃木坂46,西川七海,にしかわ ななみ,1993/7/3,東京都,A型,165,2期生,2014/3/22,-
乃木坂46,市來玲奈,いちき れな,1996/1/22,千葉県,A型,153,1期生,2014/7/21,日本テレビ放送網
乃木坂46,矢田里沙子,やだ りさこ,1995/3/8,埼玉県,A型,158,2期生,2014/10/18,-
乃木坂46,米徳京花,よねとく きょうか,1999/4/14,神奈川県,AB型,163,2期生,2014/10/18,CLONEA
乃木坂46,伊藤寧々,いとう ねね,1995/12/12,岐阜県,B型,149,1期生,2014/10/19,-
乃木坂46,大和里菜,やまと りな,1994/12/14,宮城県,O型,162,1期生,2014/12/15,-
乃木坂46,畠中清羅,はたなか せいら,1995/12/5,大分県,B型,150,1期生,2015/4/4,MSC
乃木坂46,松井玲奈,まつい れな,1991/7/27,愛知県,O型,162,交換留学生,2015/5/14,A-PLUS
乃木坂46,永島聖羅,ながしま せいら,1994/5/19,愛知県,O型,159,1期生,2016/3/20,ホリプロ
乃木坂46,深川麻衣,ふかがわ まい,1991/3/29,静岡県,O型,162,1期生,2016/6/16,テンカラット
乃木坂46,橋本奈々未,はしもと ななみ,1993/2/20,北海道,B型,163,1期生,2017/2/20,-
乃木坂46,中元日芽香,なかもと ひめか,1996/4/13,広島県,O型,161,1期生,2017/11/19,乃木坂46合同会社
乃木坂46,伊藤万理華,いとう まりか,1996/2/20,神奈川県,O型,158,1期生,2017/12/23,乃木坂46合同会社
乃木坂46,川村真洋,かわむら まひろ,1995/7/23,大阪府,A型,158,1期生,2018/3/31,TWIN PLANET
乃木坂46,生駒里奈,いこま りな,1995/12/29,秋田県,AB型,153,1期生,2018/5/6,A.M.Entertainment
乃木坂46,斎藤ちはる,さいとう ちはる,1997/2/17,埼玉県,A型,167,1期生,2018/7/16,テレビ朝日
乃木坂46,相楽伊織,さがら いおり,1997/11/26,埼玉県,O型,164,2期生,2018/7/16,am合同会社
乃木坂46,若月佑美,わかつき ゆみ,1994/6/27,静岡県,O型,157.7,1期生,2018/11/30,ゼスト
乃木坂46,能條愛未,のうじょう あみ,1994/10/18,神奈川県,A型,162,1期生,2018/12/15,TWIN PLANET
乃木坂46,川後陽菜,かわご ひな,1998/3/22,長崎県,O型,161,1期生,2018/12/20,LAND
乃木坂46,西野七瀬,にしの ななせ,1994/5/25,大阪府,O型,159,1期生,2018/12/31,乃木坂46合同会社
乃木坂46,衛藤美彩,えとう みさ,1993/1/4,大分県,AB型,163,1期生,2019/3/31,TWIN PLANET
乃木坂46,伊藤かりん,いとう かりん,1993/5/26,神奈川県,O型,154,2期生,2019/5/24,乃木坂46合同会社
乃木坂46,斉藤優里,さいとう ゆうり,1993/7/20,東京都,O型,157,1期生,2019/6/30,株式会社321
乃木坂46,桜井玲香,さくらい れいか,1994/5/16,神奈川県,A型,157,1期生,2019/9/1,乃木坂46合同会社
乃木坂46,佐々木琴子,ささき ことこ,1998/8/28,埼玉県,A型,163,2期生,2020/3/31,アルディ
乃木坂46,井上小百合,いのうえ さゆり,1994/12/14,埼玉県,B型,156,1期生,2020/4/27,シス・カンパニー
乃木坂46,中田花奈,なかだ かな,1994/8/6,埼玉県,A型,158,1期生,2020/10/25,乃木坂46合同会社
乃木坂46,白石麻衣,しらいし まい,1992/8/20,群馬県,A型,162,1期生,2020/10/28,乃木坂46合同会社
乃木坂46,堀未央奈,ほり みおな,1996/10/15,岐阜県,O型,162,2期生,2021/3/28,am合同会社
乃木坂46,松村沙友理,まつむら さゆり,1992/8/27,大阪府,B型,164,1期生,2021/7/13,FIRST AGENT
乃木坂46,伊藤純奈,いとう じゅんな,1998/11/30,神奈川県,A型,166,2期生,2021/8/31,Tie Works
乃木坂46,渡辺みり愛,わたなべ みりあ,1999/11/1,東京都,O型,153,2期生,2021/8/31,アリゲーター
乃木坂46,大園桃子,おおぞの ももこ,1999/9/13,鹿児島県,O型,156.4,3期生,2021/9/4,-
乃木坂46,高山一実,たかやま かずみ,1994/2/8,千葉県,A型,162,1期生,2021/11/21,乃木坂46合同会社
乃木坂46,寺田蘭世,てらだ らんぜ,1998/9/23,東京都,不明,155,2期生,2021/12/12,-
乃木坂46,生田絵梨花,いくた えりか,1997/1/22,デュッセルドルフ,A型,160,1期生,2021/12/31,太田プロダクション
乃木坂46,新内眞衣,しんうち まい,1992/1/22,埼玉県,B型,165,2期生,2022/2/10,セント・フォース
乃木坂46,星野みなみ,ほしの みなみ,1998/2/6,千葉県,B型,155,1期生,2022/2/12,-
乃木坂46,北野日奈子,きたの ひなこ,1996/7/17,北海道,O型,158,2期生,2022/4/30,am合同会社
乃木坂46,山崎怜奈,やまざき れな,1997/5/21,東京都,B型,164,2期生,2022/7/17,マウントケープ
乃木坂46,樋口日奈,ひぐち ひな,1998/1/31,東京都,A型,161,1期生,2022/10/31,乃木坂46合同会社
