グループ名,リリース日,タイトル
乃木坂46,2012/2/22,ぐるぐるカーテン
乃木坂46,2012/5/2,おいでシャンプー
乃木坂46,2012/8/22,走れ!Bicycle
乃木坂46,2012/12/19,制服のマネキン
乃木坂46,2013/3/13,君の名は希望
乃木坂46,2013/7/3,ガールズルール
乃木坂46,2013/11/27,バレッタ
乃木坂46,2014/4/2,気づいたら片想い
乃木坂46,2014/4/14,気づいたら片想い 〜with 松井玲奈 ver.〜
乃木坂46,2014/7/9,夏のFree&Easy
乃木坂46,2014/10/8,何度目の青空か?
乃木坂46,2015/1/7,透明な色
乃木坂46,2015/3/18,命は美しい
乃木坂46,2015/7/22,太陽ノック
乃木坂46,2015/10/28,今、話したい誰かがいる
乃木坂46,2016/3/23,ハルジオンが咲く頃
櫻坂46,2016/4/6,サイレントマジョリティー
乃木坂46,2016/5/25,それぞれの椅子
乃木坂46,2016/7/27,裸足でSummer
櫻坂46,2016/8/10,世界には愛しかない
乃木坂46,2016/11/9,サヨナラの意味
櫻坂46,2016/11/30,二人セゾン
乃木坂46,2017/3/22,インフルエンサー
櫻坂46,2017/4/5,不協和音
乃木坂46,2017/5/24,生まれてから初めて見た夢
櫻坂46,2017/7/19,真っ白なものは汚したくなる
乃木坂46,2017/8/9,逃げ水
乃木坂46,2017/10/11,いつかできるから今日できる
櫻坂46,2017/10/25,風に吹かれても
乃木坂46,2018/1/10,僕だけの君〜Under Super Best〜
櫻坂46,2018/3/7,ガラスを割れ！
乃木坂46,2018/4/25,シンクロニシティ
日向坂46,2018/6/20,走り出す瞬間
乃木坂46,2018/8/8,ジコチューで行こう!
櫻坂46,2018/8/15,アンビバレント
乃木坂46,2018/11/14,帰り道は遠回りしたくなる
櫻坂46,2019/2/27,黒い羊
日向坂46,2019/3/27,キュン
乃木坂46,2019/4/17,今が思い出になるまで
乃木坂46,2019/5/29,Sing Out!
日向坂46,2019/7/17,ドレミソラシド
乃木坂46,2019/9/4,夜明けまで強がらなくてもいい
日向坂46,2019/10/2,こんなに好きになっちゃっていいの？
日向坂46,2020/2/19,ソンナコトナイヨ
乃木坂46,2020/3/25,しあわせの保護色
乃木坂46,2020/6/17,世界中の隣人よ
乃木坂46,2020/7/24,Route 246
櫻坂46,2020/8/21,誰がその鐘を鳴らすのか？
日向坂46,2020/9/23,ひなたざか
櫻坂46,2020/10/7,永遠より長い一瞬 〜あの頃、確かに存在した私たち〜
櫻坂46,2020/12/9,Nobody's fault
乃木坂46,2021/1/27,僕は僕を好きになる
櫻坂46,2021/4/14,BAN
日向坂46,2021/5/26,君しか勝たん
乃木坂46,2021/6/9,ごめんねFingers crossed
乃木坂46,2021/9/22,君に叱られた
櫻坂46,2021/10/13,流れ弾
日向坂46,2021/10/27,ってか
乃木坂46,2021/11/5,最後のTight Hug
乃木坂46,2021/12/15,Time flies
乃木坂46,2022/3/23,Actually...
櫻坂46,2022/4/6,五月雨よ
日向坂46,2022/6/1,僕なんか
櫻坂46,2022/8/3,As you know?
乃木坂46,2022/8/31,好きというのはロックだぜ!
日向坂46,2022/10/26,月と星が踊るMidnight
櫻坂46,2022/11/8,その日まで
乃木坂46,2022/12/7,ここにはないもの
櫻坂46,2023/2/15,桜月
乃木坂46,2023/3/29,人は夢を二度見る
日向坂46,2023/4/19,One choice
櫻坂46,2023/6/28,Start over!
日向坂46,2023/7/26,Am I ready?
乃木坂46,2023/8/23,おひとりさま天国
櫻坂46,2023/10/18,承認欲求
日向坂46,2023/11/8,脈打つ感情
乃木坂46,2023/12/6,Monopoly
櫻坂46,2024/2/21,何歳の頃に戻りたいのか？
乃木坂46,2024/4/10,チャンスは平等
日向坂46,2024/5/8,君はハニーデュー
櫻坂46,2024/6/26,自業自得
乃木坂46,2024/8/21,チートデイ
日向坂46,2024/9/18,絶対的第六感
櫻坂46,2024/10/23,I want tomorrow to come
乃木坂46,2024/12/11,歩道橋
日向坂46,2025/1/29,卒業写真だけが知ってる
乃木坂46,2025/2/3,懐かしさの先
櫻坂46,2025/2/19,UDAGAWA GENERATION
乃木坂46,2025/2/23,100日目
乃木坂46,2025/3/26,ネーブルオレンジ
櫻坂46,2025/4/30,Addiction
日向坂46,2025/5/21,Love yourself!
櫻坂46,2025/6/25,Make or Break
